i,y
1,1.8486965670310191
2,3.2301596242328934
3,2.560855606663993
4,2.6377738159112027
5,3.2902303147823226
6,1.8583105873477894
8,2.6256817764360307
9,2.2343821325272235
10,2.911695749521261
11,3.5220525569034185
12,1.18419535649221
13,3.5681235621151397
14,2.932786845820567
15,2.11627613747029
16,2.4360941028610674
17,3.0367764141520985
18,2.1276743218943133
19,3.1367123667084074
20,2.730815909614318
21,2.571281292868719
22,1.956346463306893
23,3.2968373643206
24,2.4079825244834097
25,2.8885800960124204
26,2.8933853115453005
27,2.7542521498806027
28,2.025026239204443
29,1.7959490787616506
30,2.876828171944632
31,3.093147240082226
32,1.66395052759763
33,2.5312538333631354
34,2.6795899316094363
35,2.909604083130562
36,2.9558693317214293
37,2.641488346969493
38,2.6473660328924495
39,3.321378944566669
40,3.4079250301012114
41,2.250950087658841
42,3.2364783998167206
44,2.613044847304763
45,1.8679532410795427
46,1.0828723446221835
48,2.960687187294661
49,1.9443982863825624
50,3.1460072230783673
51,2.979780702506224
52,2.4680546168001376
55,2.2251818145502833
56,3.213403145230668
57,2.804217928674475
58,3.286109650386988
59,2.3689641482581947
60,2.955223524696406
61,3.354764934847824
62,1.724690725464541
63,1.6248348984830063
65,3.684713877013113
66,1.7286162699792982
67,2.1781367743778737
68,3.454748420041252
69,2.4476975941478405
70,2.475607035861441
71,2.7030448608580646
72,2.611161514327265
73,2.4934740729821008
74,3.6599452202540905
75,2.1870530164877455
76,3.092523784301696
77,2.8391956090565214
78,3.7025268759571346
79,2.3110129365623746
80,1.482264747947288
81,2.752771396889255
82,3.186327028105484
83,1.3783164010931976
84,2.5868417183592545
85,2.3472990344952476
86,1.8836131605269528
87,2.5323556337219024
88,2.6821900676899797
89,2.659242733340931
90,2.1795332800124703
91,2.005828036897453
92,2.8647064430491866
93,2.7166470408628705
94,3.4000356815262323
95,2.1470297594688095
96,3.78479903150445
97,3.5965209727781478
98,3.1493300742019747
99,3.085837483149097
100,1.733305877640132
101,2.112097923875504
102,3.4382325816299573
104,3.2746025739273157
105,2.581556261069281
106,2.663096257825868
108,2.0616742412367426
110,3.213114828407971
111,3.4637437662160235
112,3.331009528538471
113,2.2603527428783488
114,3.351640833794942
115,1.4641766747024538
116,3.1241753187810146
117,2.9506044270409304
118,2.2679925384960606
119,2.955425270720499
120,2.4570413773637885
121,2.821312181683479
122,2.1069128752692254
123,1.467046319868721
124,2.9529224414557214
125,3.1739964968615006
126,1.6164861782545434
127,3.183919542192156
129,2.0997662879304184
130,1.3135574842115747
131,3.292404069916801
132,3.0189221579085816
133,2.772156005239911
134,2.81449740527295
135,2.158642174642795
137,2.716592400377944
138,3.4129676857714046
139,2.9748593378255612
140,1.8778887689462256
141,2.391982287113948
142,2.1758275667472606
143,2.4836372506980533
144,3.902567807990474
145,3.7375757631356343
146,2.91919618461519
147,1.8116331767787812
148,1.9031332106221306
149,3.378372706358363
150,2.995079542740303
151,2.4234077978349284
152,3.2585120595889663
153,2.2780277863718
154,2.8748649650195937
155,3.181504210405148
156,3.7947542329564095
157,2.3325409131780646
158,3.170524827378543
159,2.436179616174487
163,3.093131745948108
164,3.560623832995779
165,2.980355114671323
166,3.653572049446071
167,3.296310156728629
168,3.935545058025865
169,2.44357595559129
170,3.8079632597919493
171,2.690866520818696
172,3.023734587193761
173,3.0842576275552056
174,2.375807642076369
175,3.502042855719489
176,2.038418819270214
177,3.550481536339866
178,2.6261815392369523
179,3.050969353957034
180,2.59038720573497
181,2.984818778979072
182,3.2927049902019454
185,2.399980268708223
187,3.1537676122389073
188,2.6729372928885518
189,3.2003490175095757
190,2.743145415729783
191,0.6733609889889717
192,1.4250006650490008
193,2.8483377071566003
194,1.490279984112365
196,2.9672108258330803
197,2.0525849999301955
198,2.0086095435324727
199,2.3190423066280466
200,3.6245903376131543
201,2.6486092377359918
202,1.920061466623163
203,3.5118951021442975
204,3.0145405835447363
205,2.0020210306665196
206,2.5432845010064438
207,3.0791095605001346
208,4.055535064394709
209,2.1400844157635572
210,3.4274104899456344
211,2.803538276842117
212,2.383682936473593
213,2.669577295017451
214,2.71338560216565
215,3.01251345421487
216,1.50796131862617
217,2.985679608039105
218,2.6626926523833805
220,1.4266156830722359
221,3.064945121569307
222,1.439205049208562
223,2.2196422069742225
224,2.7512638594735557
225,2.7883904452586994
227,2.820546841797315
228,2.5957422479370096
229,2.2127428881911633
230,2.933749520791997
231,3.224231513398499
232,3.515456371346118
233,3.2287220159572576
234,2.5287927936369297
235,3.2671271360728227
236,2.9821899880621223
237,3.9194953668310375
238,3.0633611998401613
239,2.132789295567735
240,4.150940800654731
241,1.6943769828541697
242,1.584559327221627
243,2.7916767314656767
244,2.4781213526869803
245,3.2024231596233363
246,2.7107573342131968
247,2.491014976772455
248,1.7531963698637256
249,2.010715604308785
250,1.1063026348391667
252,3.3115439125641726
253,2.129573200150079
254,3.6467958505452316
255,2.536233957750133
256,3.0799305255781584
257,2.552361551360463
260,1.8417064299422663
261,2.5174891030596513
263,2.8249353311439513
264,2.3556677637158887
267,2.8864064855331724
268,2.0348013718094955
270,2.70299309075878
271,2.169246534993018
272,2.7628875485928464
273,1.2130338069310038
275,1.9976344619432556
276,2.7571539546939685
277,3.6540941439545116
279,2.952047677188851
280,2.2076696997627923
281,2.7669203444701687
282,2.682812037208034
283,1.5881622242313373
284,2.3841297530508254
285,2.691148540287482
286,1.7283580740543574
288,3.4925205024748895
289,2.8136397642017417
290,3.211531857595377
291,1.4862826434445626
292,2.8176129889034947
293,2.9803827030020145
294,2.439208263857053
295,2.5221540767869732
297,3.099248997435401
298,2.110971280868998
299,2.303659244620454
300,2.1562779988190464
301,2.295807040645163
302,1.9344683156852909
303,1.8770432394765457
304,1.5828291412386417
305,2.660113278336318
306,2.8916561187301397
307,2.488440993852515
308,2.8685611928420265
309,2.1145974412926667
310,2.5617789043206116
311,2.9927511809968377
312,3.0930639995677907
313,1.9949623913030952
314,3.1743299116984662
315,2.368175941749231
317,2.127802844418539
318,1.781155991527357
319,2.6248794206723383
320,1.8039137642260823
322,2.1258347392168804
323,1.6134152353114726
324,2.508689310814359
325,2.305892737756388
326,2.078781832751457
327,3.834335569817656
329,1.9306333045057371
330,1.6059574173119728
332,1.697416278103549
333,3.245053067784353
334,3.3320176720732793
335,2.056780386548397
336,2.5971494722904196
337,2.283771602839408
338,3.457111796539134
339,2.171288662212176
340,2.1099079305996704
341,3.049752889772121
342,2.6872265834921922
343,2.7684196562160657
344,3.221280561017242
345,1.9153319663251882
346,2.175390760744962
347,3.302590623346011
348,3.079358889360382
349,2.821568710742851
350,3.156430219390005
353,2.9251462127395533
354,3.2246442455938866
355,2.3333560990715982
356,3.0450450415535415
357,3.0166182887660327
358,3.1436347408087557
359,2.1134011779147652
360,3.0667202185909943
361,2.6516962815898504
362,2.447571474100965
363,2.2906289060993057
364,2.1356231388056965
365,2.4381014675518613
366,2.1295125270616384
367,2.895683441021865
368,3.0225403426952275
369,3.3543009968031563
370,1.319615330775541
371,1.3522340127552563
372,3.035780919726909
373,3.6883847020072396
374,3.855784073624443
375,2.2445088040980044
377,2.7132200045897488
378,3.523639300949922
379,2.971921179380473
380,3.1889471301002623
381,1.7344448473045004
382,1.7381093292076109
383,3.0919042700624715
384,2.405988225025421
385,3.457488176879503
386,3.256915669870196
387,1.7347907125529816
388,2.980739630009074
390,2.0685748497325744
392,2.3950102805243065
393,2.4549682274194033
394,3.242772334119019
395,3.3760348956811463
396,2.5930000706490217
397,2.864445721035782
398,2.656117883844282
399,2.7811343211139317
400,2.7243699862565856
401,2.8300705132171142
402,1.8131114840221765
403,3.4246057057350616
404,2.8922395776134446
406,2.2093634824113333
407,3.0641296938139333
408,3.6944612609249625
409,2.7431955469856804
410,1.4160710760745576
411,1.763784448807612
412,2.742850293342142
413,2.4554869940880684
414,2.808203646701734
415,1.9355509271364368
419,3.3888801395118264
420,2.9149130381931556
421,1.7051561238890798
422,3.4180668521282267
423,2.843733604034719
424,2.008574215348141
425,3.17103270877041
426,2.9447178946842496
427,2.897079498434532
428,3.360960141849033
430,2.515455708462161
431,1.5640312924468638
432,3.0672332121571664
433,1.9393503548864228
434,2.3427360859090416
435,2.827744509981114
436,3.040969218434055
437,2.3813466041914118
438,2.378720307054137
439,2.0328079683188647
440,2.3817025101420675
441,2.3114826487891977
442,2.571685246209895
443,1.786112761787025
444,1.7154616616257907
445,1.8515464401636599
446,2.32653554524522
448,2.251114503503371
449,3.3976085487366103
450,3.3254124451132525
451,2.7328385710612344
453,3.5600870257987123
454,3.51407387219898
455,1.1426567813610127
456,1.8071302121825994
457,3.1448109798821364
458,2.755939571131053
459,1.969573662059661
460,1.8493723881626616
461,3.44628460231006
462,2.4977219627860414
463,3.171716761677001
464,3.5238869060749383
465,3.3131340611289652
466,3.39391034372399
467,1.769085482962644
468,3.130103290674242
469,2.513119774341294
470,1.7557545198969067
471,4.01778911916312
472,2.649653716083908
473,2.329362446921062
474,2.265091917940453
475,2.882710610708633
477,3.3013985782853084
478,3.7701202721081533
481,3.2253414197134114
482,2.785610096094368
483,3.242340779110895
484,2.5363353196931544
485,2.7942290410020476
486,3.799789990825124
487,2.5109960942703142
488,3.2598282739091933
489,1.4680215472606444
490,3.5590548182012163
491,2.0982632363501605
492,2.639158692712867
493,2.72869480517214
494,3.700101753778353
495,1.3638559115798239
497,3.106501125837076
498,3.3284096741277422
499,1.7673536750279173
500,3.650557732284465
501,2.7359031353869185
502,2.980575699738974
503,2.2039922928558187
504,2.8574936368345814
505,2.6247641559684807
506,1.7408056251866697
507,2.2255898807080765
508,2.6207256326288557
509,2.4816933776089622
510,2.585235907988473
